NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeight Value
4,,CTTROT20210323POL,SGNS,10,37804557360-7,,,,,,,,,20000,60,,368022,60000,,,19.639999389648438,,,,57,11,0,1601
4,,CTTROT20210323POL,Sgns60,5,37804557411-8,,,,,,,,,20000,60,,368022,72000,,,19.639999389648438,,,,57,11,0,1601
4,,CTTROT20210323POL,Sgns60,7,31804557149-0,,,,,,,,,20000,60,,368022,72000,,,19.639999389648438,,,,57,11,0,1601
4,,CTTROT20210323POL,Sgns60,11,37804556661-9,,,,,,,,,20000,60,,368022,70000,,,19.639999389648438,,,,57,11,0,1601
4,,CTTROT20210323POL,Sgns60,12,37804556634-6,,,,,,,,,20000,60,,368022,70000,,,19.639999389648438,,,,57,11,0,1601
4,,CTTROT20210323POL,SGNSS,1,37804557047-0,,,,,,,,,20000,60,,368022,70000,,,19.639999389648438,,,,57,11,0,1601
4,,CTTROT20210323POL,SGNSS,17,37804557037-1,,,,,,,,,20000,60,,368022,70000,,,19.639999389648438,,,,57,11,0,1601
6,,CTTROT20210323POL,SGGMRS,18,33684952015-8,,,,,,,,,29000,90,,368022,100000,,,29.590000152587891,,,,57,11,0,1601
6,,CTTROT20210323POL,SGGMRS,23,33684953225-2,,,,,,,,,29000,90,,368022,94000,,,29.590000152587891,,,,57,11,0,1601
6,,CTTROT20210323POL,SGGMRS,24,33684953314-4,,,,,,,,,29000,90,,368022,94000,,,29.590000152587891,,,,57,11,0,1601
6,,CTTROT20210323POL,Sggmrs90,8,33684954446-3,,,,,,,,,29000,90,,368022,94000,,,29.590000152587891,,,,57,11,0,1601
6,,CTTROT20210323POL,Sggmrss,14,33884961156-5,,,,,,,,,27200,90,,368022,107800,,,29.590000152587891,,,,57,11,0,1601
6,,CTTROT20210323POL,Sggmrss,22,33884962363-6,,,,,,,,,26940,90,,368022,108000,,,29.590000152587891,,,,57,11,0,1601
6,,CTTROT20210323POL,SGGRS,15,37804950452-5,,,,,,,,,28000,80,,368022,92000,,,26.700000762939453,,,,57,11,0,1601
